,myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
1,0.976,1.532150779,0.952,2.378823315,1,0.917,0,Zbtb20
2,0.955,1.760553023,0.91,2.933492089,0.996,0.621,0,Tubb2b
3,0.953,1.993804377,0.906,3.853259666,0.965,0.271,0,Sox11
4,0.953,1.986105506,0.906,4.589972504,0.945,0.12,0,Igfbpl1
5,0.949,1.611865129,0.898,2.851356874,0.994,0.671,0,Nfib
6,0.934,1.132828733,0.868,1.792741475,1,0.967,0,Eef2
7,0.923,1.573756962,0.846,3.891205155,0.901,0.15,0,Cd24a
8,0.919,1.358853282,0.838,2.266124735,0.993,0.723,0,Tubb5
9,0.916,1.426252879,0.832,2.501738646,0.984,0.545,0,Stmn1
10,0.908,1.503930875,0.816,2.835462664,0.946,0.375,0,Nnat
11,0.905,1.214264443,0.81,2.332022744,0.975,0.589,0,Nfix
12,0.898,1.384830277,0.796,3.94136171,0.859,0.135,0,Sema3c
13,0.891,1.537439403,0.782,2.846366384,0.941,0.454,0,Sox4
14,0.889,1.262320213,0.778,1.976420938,0.998,0.734,0,Tmsb10
15,0.885,1.124102787,0.77,2.469930838,0.92,0.411,0,Jpt1
16,0.88,1.338251147,0.76,3.362038576,0.847,0.178,0,Tubb3
17,0.876,0.98026445,0.752,1.799278242,0.984,0.736,0,Hnrnpa1
18,0.876,0.786763675,0.752,1.181394457,1,0.995,0,Eef1a1
19,0.873,0.869214176,0.746,1.455339417,0.999,0.905,0,Tcf4
20,0.872,1.120764809,0.744,2.436630589,0.902,0.324,0,Fxyd6
21,0.869,1.426400575,0.738,4.59522094,0.782,0.106,0,Neurod1
22,0.867,1.183706233,0.734,2.69861376,0.887,0.345,0,Mir99ahg
23,0.856,1.1162781,0.712,2.074253093,0.968,0.651,0,Nfia
24,0.85,0.735442353,0.7,1.188821514,0.999,0.956,0,Rpl4
25,0.841,0.985354842,0.682,3.368780443,0.762,0.13,0,Dcx
26,0.838,0.745100747,0.676,1.152434481,0.999,0.983,0,Rplp0
27,0.835,0.745284212,0.67,1.163940593,0.999,0.986,0,Rps5
28,0.828,0.859444267,0.656,1.610249256,0.967,0.636,0,Ncam1
29,0.828,0.693968119,0.656,1.125047809,0.998,0.972,0,Rpl7
30,0.827,1.00640584,0.654,1.585417588,0.998,0.887,0,Tuba1a
31,0.827,1.020318253,0.654,3.258904623,0.75,0.185,0,Ttc28
32,0.826,0.681405746,0.652,1.126987564,0.997,0.965,0,H3f3a
33,0.824,0.730911846,0.648,1.217685987,0.998,0.82,0,Marcksl1
34,0.823,0.623671751,0.646,0.991737307,1,0.991,0,Rpl11
35,0.819,0.991042972,0.638,2.640294489,0.786,0.259,0,Mir9-2hg
36,0.817,0.705285415,0.634,1.291307503,0.98,0.84,0,Eef1g
37,0.811,0.666128712,0.622,1.091026596,0.998,0.964,0,Rps26
38,0.81,0.866963807,0.62,2.477597986,0.78,0.243,0,Myt1l
39,0.806,0.959073196,0.612,2.415375317,0.773,0.236,0,Neurod2
40,0.806,0.633235898,0.612,1.007514334,0.998,0.984,0,Rpl23a
41,0.805,0.717796821,0.61,1.409436029,0.96,0.649,0,Ttc3
42,0.805,0.678935887,0.61,1.201336177,0.99,0.82,0,Eif4a2
43,0.803,0.6485249,0.606,1.074402734,0.998,0.944,0,Rpsa
44,0.803,0.74898505,0.606,1.603217525,0.905,0.57,0,Nicol1
45,0.802,0.616709718,0.604,0.971644494,0.999,0.979,0,Rps7
46,0.8,0.574085758,0.6,0.909190227,0.999,0.981,0,Rpl6
47,0.798,0.594742545,0.596,0.944685026,0.999,0.984,0,Rps3
48,0.796,0.711939766,0.592,1.610139157,0.857,0.411,0,Elavl3
49,0.795,0.614543045,0.59,0.965775817,0.999,0.982,0,Rps4x
50,0.795,0.598566165,0.59,0.941239173,0.999,0.969,0,Ptma
51,0.794,0.70096632,0.588,1.394812717,0.933,0.453,0,Mllt11
52,0.793,0.614893112,0.586,0.968555514,1,0.982,0,Rpl17
53,0.793,0.861815678,0.586,1.967153762,0.763,0.216,0,Stmn2
54,0.792,0.938884562,0.584,2.488582083,0.743,0.268,0,Gm17750
55,0.791,0.627030627,0.582,1.082796972,0.994,0.92,0,Gas5
56,0.787,0.576503945,0.574,0.960879637,0.998,0.951,0,Rpl10a
57,0.785,0.938991809,0.57,2.91078314,0.688,0.194,0,Gm56999
58,0.784,0.581006475,0.568,0.916761382,0.999,0.974,0,Rpl10
59,0.781,0.810181215,0.562,2.662509224,0.696,0.207,0,Mtss1
60,0.781,0.554211684,0.562,0.909015334,0.998,0.943,0,Actg1
61,0.781,0.856195086,0.562,2.392356368,0.727,0.249,0,Prox1
62,0.78,0.557267169,0.56,0.885553659,0.999,0.981,0,Rps9
63,0.78,0.618175561,0.56,1.03238092,0.996,0.948,0,Rpl35
64,0.779,0.844635409,0.558,2.187240178,0.754,0.333,0,H2bc27
65,0.779,1.103930192,0.558,4.145253209,0.602,0.06,0,Calb2
66,0.779,0.511502902,0.558,0.806485027,0.999,0.992,0,Rpl21
67,0.778,0.525386728,0.556,0.82714753,0.999,0.985,0,Rps8
68,0.777,0.525323159,0.554,0.828283603,0.999,0.987,0,Rpl23
69,0.776,0.702684139,0.552,1.58991704,0.868,0.525,0,Ptprs
70,0.774,0.687413354,0.548,1.422004394,0.91,0.678,0,2410006H16Rik
71,0.774,0.514440469,0.548,0.794556822,1,0.993,0,Rpl18a
72,0.773,0.794674381,0.546,2.905852151,0.658,0.169,0,Igsf3
73,0.772,0.534389855,0.544,0.93612554,0.994,0.938,0,Rpl7a
74,0.771,0.494705509,0.542,0.775893016,0.999,0.991,0,Rpl37
75,0.77,0.526523375,0.54,0.829163217,1,0.981,0,Rpl3
76,0.77,0.500282657,0.54,0.805480416,0.998,0.983,0,Rpl15
77,0.77,0.490711987,0.54,0.74978717,1,0.989,0,H3f3b
78,0.77,0.523822698,0.54,0.825567621,1,0.991,0,Rpl26
79,0.769,0.525308124,0.538,0.828701223,0.999,0.985,0,Rps24
80,0.769,0.503627285,0.538,0.787786152,0.999,0.99,0,Rps27a
81,0.768,0.531101589,0.536,0.846806734,1,0.98,0,Rps28
82,0.766,0.739210692,0.532,2.367667271,0.685,0.23,0,Serf1
83,0.764,0.707175757,0.528,2.172888645,0.706,0.268,0,Podxl2
84,0.764,0.774527806,0.528,1.971161437,0.761,0.318,0,Cttnbp2
85,0.763,0.531211152,0.526,0.897241323,0.998,0.941,0,Rpl36a
86,0.763,0.470531701,0.526,0.756948626,1,0.978,0,Hsp90ab1
87,0.763,0.522211949,0.526,0.832422578,0.999,0.975,0,Rps3a1
88,0.762,0.588091275,0.524,1.22534174,0.914,0.714,0,Eif3h
89,0.761,0.492876744,0.522,0.799085003,0.999,0.982,0,Rps13
90,0.758,0.765276488,0.516,2.454646814,0.664,0.208,0,Islr2
91,0.758,0.678990035,0.516,1.576594539,0.83,0.49,0,Auts2
92,0.757,0.667074429,0.514,1.51577957,0.831,0.544,0,Zfas1
93,0.754,0.48033105,0.508,0.753025866,1,0.986,0,Rps18
94,0.754,0.549194437,0.508,1.075593071,0.947,0.772,0,Rack1
95,0.754,0.484045704,0.508,0.786327271,0.999,0.98,0,Rps17
96,0.753,0.4566735,0.506,0.710829495,0.999,0.994,0,Rps23
97,0.752,0.483214459,0.504,0.8062279,0.994,0.65,0,Rtn1
98,0.751,0.483638413,0.502,0.758304077,0.999,0.987,0,Rpl32
99,0.751,0.548282089,0.502,1.092910959,0.936,0.76,0,Snrpg
100,0.751,0.638260741,0.502,1.513818555,0.788,0.354,0,Epha4
101,0.749,0.478158392,0.498,0.759739377,0.999,0.983,0,Rpl39
102,0.749,0.467561018,0.498,0.74367405,0.999,0.985,0,Rps15a
103,0.745,0.644090059,0.49,2.190742915,0.633,0.18,0,Hmgb3
104,0.745,0.437716471,0.49,0.698413938,1,0.99,0,Rpl19
105,0.744,0.416028829,0.488,0.657925739,1,0.988,0,Rps2
106,0.744,0.510628832,0.488,0.904550204,0.987,0.876,0,Rpl10-ps3
107,0.744,0.47470678,0.488,0.762353478,0.999,0.983,0,Rpl34
108,0.743,0.568386438,0.486,1.161163615,0.91,0.586,0,Nrxn1
109,0.743,0.593606413,0.486,1.326531684,0.828,0.446,0,Basp1
110,0.743,0.647343263,0.486,1.643054911,0.737,0.315,0,Gm3764
111,0.742,0.475027599,0.484,0.851187622,0.982,0.864,0,Hmgb1
112,0.741,0.670754808,0.482,2.620320444,0.607,0.178,0,Bzw2
113,0.739,0.406633575,0.478,0.658169482,0.999,0.986,0,Rps15
114,0.739,0.492571562,0.478,0.943813677,0.957,0.813,0,Eif3f
115,0.739,0.507050611,0.478,1.005431553,0.929,0.575,0,Celf2
116,0.738,0.56083181,0.476,1.067072925,0.922,0.573,0,Map1b
117,0.738,0.408266605,0.476,0.657863546,0.999,0.982,0,Rpl14
118,0.738,0.42662503,0.476,0.687889697,0.999,0.98,0,Rps11
119,0.737,0.624994206,0.474,1.58763693,0.753,0.454,0,Cirbp
120,0.735,0.423267058,0.47,0.691149476,0.999,0.983,0,Rpl24
121,0.735,0.47629198,0.47,0.849963884,0.983,0.894,0,Rpl13a
122,0.735,0.430481688,0.47,0.668200019,0.999,0.99,0,Rps19
123,0.735,0.61121585,0.47,1.601889481,0.757,0.418,0,Tia1
124,0.734,0.428870136,0.468,0.660613329,0.999,0.997,0,Rps14
125,0.732,0.448694903,0.464,0.850560863,0.905,0.462,0,Cnih2
126,0.731,0.409018484,0.462,0.650491792,0.999,0.985,0,Rpl38
127,0.731,0.421304561,0.462,0.707920907,0.996,0.969,0,Rpl18
128,0.73,0.618095181,0.46,2.552822321,0.577,0.15,0,Hecw1
129,0.73,0.597909328,0.46,1.809817047,0.689,0.33,0,Ilf2
130,0.729,0.424884741,0.458,0.681946328,0.999,0.973,0,Rps6
131,0.729,0.508477673,0.458,0.92104789,0.968,0.637,0,Gria2
132,0.727,0.387444384,0.454,0.624543291,0.999,0.984,0,Rpl8
133,0.726,0.624070719,0.452,2.150714172,0.611,0.204,0,Ppp1r14c
134,0.725,0.562649479,0.45,1.48482114,0.726,0.342,0,Septin3
135,0.725,0.527321663,0.45,1.204996235,0.832,0.601,0,Eif3e
136,0.722,0.586009085,0.444,2.29027548,0.577,0.161,0,Dpysl3
137,0.722,0.41115556,0.444,0.703501038,0.993,0.953,0,Rps10
138,0.721,0.382291389,0.442,0.602587402,0.999,0.991,0,Rpl9
139,0.718,0.377844463,0.436,0.619794905,0.999,0.985,0,Rpl31
140,0.717,0.571491146,0.434,1.664132738,0.684,0.34,0,Rbm4b
141,0.716,0.451811163,0.432,0.853728043,0.958,0.829,0,ENSMUSG00000141850
142,0.713,0.434818334,0.426,0.795314077,0.974,0.886,0,Naca
143,0.713,0.430187097,0.426,0.803752081,0.965,0.782,0,Atp5if1
144,0.712,0.42522635,0.424,0.822966784,0.952,0.832,0,Rpl5
145,0.711,0.414215178,0.422,0.764369362,0.979,0.894,0,Btf3
146,0.711,0.395685554,0.422,0.677758961,0.99,0.915,0,Ybx1
147,0.711,0.361600267,0.422,0.563232762,0.999,0.995,0,Rpl37a
148,0.71,0.455240332,0.42,0.993436117,0.873,0.679,0,Tbca
149,0.709,0.372725348,0.418,0.638555149,0.997,0.96,0,Rpl30
150,0.708,0.361851612,0.416,0.595286241,0.999,0.975,0,Rpl29
151,0.707,0.532181643,0.414,1.942193533,0.599,0.242,0,Rbfox2
152,0.706,0.343935682,0.412,0.550467209,0.999,0.986,0,Rpl27a
153,0.706,0.410931589,0.412,0.771135802,0.97,0.857,0,Rpl22
154,0.706,0.432694211,0.412,0.798663033,0.967,0.859,0,Rpl12
155,0.705,0.333426024,0.41,0.549141013,0.999,0.986,0,Rpl27
156,0.702,0.206307607,0.404,0.392435591,0.896,0.579,0,Fabp5
157,0.702,0.510821979,0.404,1.467372079,0.663,0.291,0,Kif5c
158,0.701,0.442153261,0.402,1.044471997,0.761,0.417,0,Ank3
159,0.701,0.351037357,0.402,0.573689293,0.998,0.98,0,Rps25
160,0.701,0.264134243,0.402,0.402311782,1,0.997,0,Rpl13
161,0.701,0.349041514,0.402,0.576238749,0.998,0.983,0,Rpl28
162,0.99,2.524345658,0.98,4.225793676,1,0.448,1,Nrgn
163,0.985,1.702454999,0.97,4.745593467,0.99,0.104,1,C1ql3
164,0.984,1.844259988,0.968,3.060164049,1,0.739,1,Ppp3ca
165,0.979,1.690025816,0.958,3.478660707,0.998,0.317,1,Camk2b
166,0.975,1.788771423,0.95,3.731593297,0.993,0.294,1,Chn1
167,0.974,1.852966745,0.948,3.609332943,0.995,0.39,1,Ncdn
168,0.97,1.447276106,0.94,4.260836571,0.972,0.123,1,Fam163b
169,0.968,1.659161631,0.936,2.784132476,0.999,0.582,1,Pcp4
170,0.966,1.443297977,0.932,2.98978222,0.995,0.38,1,Olfm1
171,0.964,1.382778876,0.928,3.424219863,0.99,0.224,1,Prkce
172,0.961,1.453015266,0.922,3.19426577,0.988,0.264,1,Ncald
173,0.96,1.420113234,0.92,3.860320852,0.978,0.118,1,Camk2a
174,0.959,1.433869622,0.918,3.71182025,0.971,0.203,1,Dgkh
175,0.958,1.378025588,0.916,2.161306502,1,0.959,1,Calm1
176,0.956,1.109452207,0.912,1.961319798,0.999,0.848,1,Mrfap1
177,0.954,1.317548312,0.908,2.463491853,0.998,0.548,1,Bex2
178,0.954,1.343823691,0.908,3.306947657,0.982,0.208,1,Nsf
179,0.953,1.51582369,0.906,2.973486522,0.995,0.321,1,Snca
180,0.952,1.329778098,0.904,2.63402138,0.996,0.424,1,Cplx2
181,0.951,1.308536444,0.902,3.192366786,0.984,0.212,1,Plppr4
182,0.949,1.520036199,0.898,4.267460128,0.944,0.103,1,Adcy1
183,0.946,1.289968337,0.892,2.629516667,0.991,0.331,1,Snap25
184,0.945,1.23325577,0.89,3.529380309,0.959,0.194,1,Rogdi
185,0.942,1.213477381,0.884,2.975842651,0.976,0.278,1,Ppp1r1a
186,0.941,1.342821354,0.882,2.158676542,1,0.848,1,Calm2
187,0.94,1.400589698,0.88,5.429497839,0.902,0.048,1,Calb1
188,0.936,1.303174322,0.872,3.194591991,0.957,0.214,1,Nrn1
189,0.936,1.198148686,0.872,2.625503997,0.986,0.29,1,Ndrg4
190,0.935,1.051299183,0.87,1.947988211,0.998,0.625,1,Atp2b1
191,0.934,1.132587605,0.868,2.672851925,0.986,0.237,1,Grin2b
192,0.934,1.240354042,0.868,2.672800227,0.979,0.389,1,Camk2n1
193,0.932,1.204343775,0.864,2.781941584,0.974,0.225,1,Sncb
194,0.929,1.101603226,0.858,2.447677856,0.982,0.39,1,Arf3
195,0.928,1.216674414,0.856,2.450112722,0.982,0.544,1,Selenom
196,0.927,1.276816138,0.854,2.356376158,0.991,0.461,1,Cnih2
197,0.927,1.126252661,0.854,2.193638805,0.99,0.625,1,Sh3bgrl3
198,0.926,1.112740667,0.852,2.65172776,0.975,0.223,1,Thy1
199,0.926,1.17992659,0.852,2.156167236,0.993,0.587,1,Snrpn
200,0.926,1.150598932,0.852,2.053583595,0.999,0.581,1,Atp1b1
201,0.925,0.956876699,0.85,1.694988689,0.998,0.804,1,Calm3
202,0.924,1.070977259,0.848,2.605439503,0.952,0.141,1,Slc17a7
203,0.923,1.237742854,0.846,3.485983748,0.919,0.123,1,Wipf3
204,0.922,1.082512415,0.844,2.432530949,0.98,0.39,1,Dlgap1
205,0.922,1.347036487,0.844,2.085945825,1,0.707,1,Meg3
206,0.922,1.056181304,0.844,2.457079346,0.969,0.322,1,Ppp3r1
207,0.921,0.947150954,0.842,1.580539418,0.999,0.911,1,Dynll1
208,0.921,1.123692979,0.842,3.862943092,0.902,0.09,1,Cracdl
209,0.92,1.10680063,0.84,2.231263076,0.986,0.456,1,Ctxn1
210,0.919,1.232858453,0.838,3.157738068,0.939,0.189,1,Caly
211,0.917,1.280310672,0.834,3.70498855,0.904,0.104,1,Nefl
212,0.917,1.126521862,0.834,3.701166839,0.901,0.09,1,Ptk2b
213,0.917,1.183937374,0.834,3.559238778,0.91,0.132,1,Synpr
214,0.916,1.036246877,0.832,2.959272693,0.941,0.155,1,Nell2
215,0.916,0.920471187,0.832,1.855710132,0.988,0.664,1,Ywhab
216,0.916,1.068183421,0.832,3.829699284,0.894,0.121,1,Btbd3
217,0.915,0.911835885,0.83,1.592265819,0.999,0.867,1,Atp5mk
218,0.915,1.022000308,0.83,2.6663499,0.959,0.208,1,Gria1
219,0.913,1.053250601,0.826,3.106837412,0.926,0.173,1,Kalrn
220,0.913,1.075228075,0.826,2.507790491,0.972,0.303,1,Mef2c
221,0.911,1.028877179,0.822,3.437415388,0.904,0.132,1,Syt7
222,0.908,0.956891743,0.816,3.178291297,0.908,0.133,1,Fam131a
223,0.908,1.083644911,0.816,4.063736918,0.871,0.076,1,AI593442
224,0.908,0.982548607,0.816,3.681381523,0.882,0.097,1,Slc8a2
225,0.907,1.189562776,0.814,4.149196439,0.869,0.092,1,Kctd16
226,0.907,1.065792296,0.814,2.043912364,0.986,0.587,1,Ywhah
227,0.905,1.017673681,0.81,3.304781249,0.897,0.144,1,Rgs7bp
228,0.905,0.747027943,0.81,1.172204491,1,0.977,1,Selenow
229,0.904,1.185959649,0.808,1.94966285,0.999,0.661,1,Rtn1
230,0.902,0.959173783,0.804,3.631417145,0.875,0.104,1,Sphkap
231,0.9,0.931581626,0.8,1.863030215,0.981,0.57,1,Vamp2
232,0.9,0.928125789,0.8,2.179372892,0.922,0.167,1,Hpca
233,0.9,0.962874374,0.8,2.652270939,0.932,0.261,1,Ensa
234,0.9,0.971403477,0.8,1.874777633,0.991,0.576,1,Celf2
235,0.898,0.856043291,0.796,1.559866651,0.995,0.781,1,Ptms
236,0.898,0.965233675,0.796,3.344275072,0.881,0.124,1,Epha7
237,0.895,0.943356831,0.79,1.844326623,0.976,0.627,1,Bex3
238,0.895,0.935849393,0.79,3.098048373,0.893,0.13,1,Bcl11b
239,0.894,1.038915627,0.788,3.587644536,0.866,0.136,1,Mrtfb
240,0.894,1.025008318,0.788,2.122587518,0.978,0.419,1,Ly6h
241,0.894,0.909124103,0.788,2.763914999,0.914,0.193,1,Matk
242,0.892,0.928540624,0.784,2.56706095,0.92,0.185,1,Atp6v1g2
243,0.892,0.885577713,0.784,3.1966777,0.877,0.127,1,Elmod1
244,0.89,0.943710711,0.78,3.167473136,0.868,0.111,1,Grin2a
245,0.89,0.800063796,0.78,1.54488874,0.988,0.775,1,Hsbp1
246,0.89,1.049936147,0.78,3.686360084,0.848,0.104,1,Bdnf
247,0.889,0.904979033,0.778,3.833754436,0.829,0.057,1,Itpka
248,0.885,0.897785482,0.77,3.051013411,0.873,0.143,1,Fgf13
249,0.885,0.814884856,0.77,2.111802927,0.93,0.18,1,Syp
250,0.884,0.870640883,0.768,3.779050855,0.828,0.075,1,Phyhip
251,0.883,0.84192934,0.766,2.101178085,0.955,0.383,1,R3hdm4
252,0.883,0.864829179,0.766,4.015980964,0.818,0.065,1,Rasgrf1
253,0.881,0.863499415,0.762,3.873634035,0.82,0.076,1,Ryr2
254,0.881,0.873880311,0.762,3.200800347,0.86,0.133,1,Galnt17
255,0.88,1.038518418,0.76,2.200806707,0.947,0.392,1,Rab3a
256,0.88,0.965080425,0.76,1.870890111,0.974,0.667,1,Arpc2
257,0.879,0.894721736,0.758,3.348713877,0.842,0.122,1,Lgi1
258,0.877,0.725767043,0.754,1.805584734,0.936,0.2,1,Syt1
259,0.877,0.869426235,0.754,2.408607196,0.899,0.177,1,Epha5
260,0.877,0.819229363,0.754,2.934484871,0.864,0.129,1,Scn2a
261,0.876,0.909891908,0.752,1.593537923,0.997,0.657,1,Pcsk1n
262,0.876,0.84183461,0.752,3.535547475,0.824,0.09,1,Kcnip2
263,0.875,0.869370289,0.75,3.377463431,0.834,0.131,1,Stxbp6
264,0.875,0.837195259,0.75,2.643591281,0.886,0.209,1,Negr1
265,0.875,0.849341446,0.75,2.205507452,0.935,0.377,1,Pkig
266,0.874,0.946285778,0.748,2.512162862,0.912,0.249,1,Baiap2
267,0.874,0.834569547,0.748,2.927850552,0.86,0.122,1,Gabra5
268,0.873,0.86460341,0.746,2.632486432,0.887,0.205,1,Limd2
269,0.873,0.912403958,0.746,4.905490461,0.775,0.04,1,C1ql2
270,0.871,0.891476925,0.742,3.475065007,0.822,0.108,1,Rnf112
271,0.87,0.702208162,0.74,1.139910485,1,0.975,1,Cox6c
272,0.87,0.824580725,0.74,4.648699419,0.774,0.044,1,Rab40b
273,0.87,0.878665362,0.74,3.358480184,0.823,0.12,1,Dgat2
274,0.869,1.045708139,0.738,3.428955296,0.831,0.122,1,1700086L19Rik
275,0.868,0.97860574,0.736,3.095094405,0.843,0.163,1,Chst1
276,0.867,0.838870391,0.734,1.780579907,0.969,0.56,1,Ypel3
277,0.866,0.769562155,0.732,2.623366286,0.855,0.137,1,Camkv
278,0.866,0.764904131,0.732,2.230895485,0.892,0.181,1,Atp1a3
279,0.864,0.812233851,0.728,2.126567119,0.922,0.365,1,Mapk1
280,0.864,0.784204033,0.728,3.173860613,0.822,0.126,1,Orai2
281,0.863,0.780643149,0.726,2.869100742,0.845,0.157,1,Kcnc3
282,0.862,0.781022678,0.724,3.018300964,0.83,0.134,1,Add2
283,0.86,0.789919851,0.72,2.753343854,0.846,0.163,1,Gabrb3
284,0.859,0.792772787,0.718,2.436803862,0.872,0.193,1,Wasf1
285,0.858,0.741923376,0.716,2.576460086,0.853,0.161,1,Frrs1l
286,0.857,0.695282504,0.714,1.421371238,0.986,0.676,1,Ywhaz
287,0.856,0.784253113,0.712,2.462539315,0.873,0.216,1,Pdxp
288,0.856,0.73540039,0.712,1.447104613,0.981,0.606,1,Pfn2
289,0.856,0.760798939,0.712,3.116706932,0.808,0.111,1,Cacna1e
290,0.855,0.857572154,0.71,1.67959528,0.978,0.461,1,Mllt11
291,0.855,0.813601248,0.71,2.898707022,0.82,0.154,1,Ogfrl1
292,0.854,0.744870229,0.708,3.363946332,0.788,0.096,1,Dmtn
293,0.854,0.777944218,0.708,2.823459112,0.827,0.16,1,Pnma8b
294,0.853,0.763404479,0.706,1.845873692,0.942,0.429,1,Atp6v1a
295,0.853,0.756076795,0.706,2.799651806,0.827,0.16,1,Plppr2
296,0.853,0.732247515,0.706,1.470771635,0.975,0.715,1,Mlf2
297,0.852,0.840834458,0.704,2.929332633,0.816,0.164,1,Tmem191
298,0.852,0.788132443,0.704,2.585411511,0.851,0.17,1,Rbfox1
299,0.852,0.845374483,0.704,3.432213512,0.769,0.066,1,Ddn
300,0.852,0.800451564,0.704,1.497162662,0.989,0.572,1,Map1b
301,0.851,0.773709597,0.702,3.717813054,0.758,0.059,1,Gda
302,0.851,0.748782345,0.702,2.889429676,0.814,0.133,1,Jph4
303,0.851,0.790030973,0.702,3.949921823,0.752,0.051,1,Gpr22
304,0.85,0.752223825,0.7,2.392106062,0.858,0.211,1,Dlg4
305,0.85,0.745588221,0.7,3.511523,0.769,0.085,1,Sowaha
306,0.85,0.708469526,0.7,1.578884993,0.963,0.577,1,Timm8b
307,0.848,0.716820254,0.696,2.632236147,0.815,0.129,1,Psd
308,0.848,0.775888204,0.696,2.195498201,0.877,0.198,1,Rian
309,0.847,0.72980955,0.694,2.535989153,0.841,0.19,1,Kctd13
310,0.846,0.75776666,0.692,1.997312067,0.911,0.293,1,Gng2
311,0.845,0.801372156,0.69,1.615800307,0.962,0.451,1,Stmn3
312,0.844,0.731066061,0.688,3.119353909,0.782,0.123,1,Ccdc85a
313,0.844,0.847247158,0.688,2.614327219,0.833,0.223,1,Ahcyl2
314,0.843,0.758385021,0.686,2.703292001,0.816,0.16,1,Plxna4
315,0.843,0.750366759,0.686,2.120598691,0.887,0.291,1,Bbln
316,0.842,0.779939885,0.684,2.785227332,0.807,0.175,1,Rfx3
317,0.842,0.801362521,0.684,3.987788065,0.735,0.066,1,Lmo7
318,0.842,0.68799836,0.684,3.252145658,0.759,0.077,1,Rph3a
319,0.841,0.670406958,0.682,1.217220333,0.987,0.797,1,Atp5mc1
320,0.841,0.716988531,0.682,3.357853386,0.757,0.079,1,Rasgef1a
321,0.841,0.766987705,0.682,1.777026264,0.941,0.341,1,Epha4
322,0.84,0.725555889,0.68,3.030538902,0.779,0.121,1,Tceal5
323,0.84,0.69907125,0.68,2.401874606,0.828,0.164,1,Syn1
324,0.84,0.728375502,0.68,2.236508451,0.858,0.21,1,Cyfip2
325,0.839,0.811473069,0.678,2.564000662,0.82,0.169,1,Bhlhe22
326,0.839,0.641857147,0.678,1.149597287,0.989,0.833,1,Fkbp1a
327,0.838,0.643430036,0.676,1.087388653,0.999,0.902,1,Ndufa4
328,0.837,0.736528396,0.674,3.091113357,0.769,0.112,1,Arfgef3
329,0.836,0.700919562,0.672,2.142786379,0.864,0.215,1,Rbfox3
330,0.836,0.679238087,0.672,3.737019222,0.728,0.058,1,Ak5
331,0.835,0.566616431,0.67,1.016476511,0.992,0.807,1,H2az1
332,0.835,0.728995262,0.67,2.376795259,0.834,0.188,1,Eef1a2
333,0.834,0.675911248,0.668,3.499836033,0.736,0.073,1,Tafa2
334,0.833,0.674161133,0.666,2.438510547,0.796,0.135,1,Pgm2l1
335,0.833,0.68066411,0.666,2.175586573,0.849,0.196,1,Grm5
336,0.832,0.701333552,0.664,2.18562113,0.854,0.23,1,Serp2
337,0.831,0.689059505,0.662,2.402778301,0.82,0.18,1,Ina
338,0.831,0.70219253,0.662,1.441622465,0.963,0.648,1,Prdx5
339,0.831,0.797039507,0.662,2.446786389,0.824,0.234,1,Abr
340,0.831,0.699599765,0.662,2.291896283,0.832,0.203,1,Ntrk3
341,0.831,0.704876935,0.662,3.199937615,0.743,0.085,1,St6galnac5
342,0.83,0.679962413,0.66,1.74503217,0.924,0.32,1,Septin3
343,0.829,0.713774835,0.658,3.548621481,0.723,0.076,1,Lrfn5
344,0.829,0.685912491,0.658,1.274147892,0.989,0.679,1,Thra
345,0.829,0.698277616,0.658,1.645653775,0.938,0.439,1,Atp6v0e2
346,0.829,0.636139615,0.658,1.465127317,0.948,0.49,1,Ywhag
347,0.829,0.682551149,0.658,2.413716319,0.816,0.194,1,Nbea
348,0.828,0.666898491,0.656,3.038781571,0.749,0.106,1,Fbxl16
349,0.828,0.7533396,0.656,2.2369211,0.822,0.203,1,Tmem108
350,0.828,0.729270929,0.656,1.302793618,0.995,0.643,1,Gria2
351,0.826,0.66305982,0.652,1.584280189,0.941,0.313,1,Celf4
352,0.826,0.714625496,0.652,1.567064479,0.949,0.474,1,Cadm2
353,0.826,0.670841931,0.652,3.303664277,0.729,0.09,1,Ppfia2
354,0.826,0.63779665,0.652,1.408070743,0.951,0.626,1,Brk1
355,0.825,0.691521096,0.65,3.071611297,0.743,0.104,1,Faim2
356,0.825,0.674875335,0.65,1.348397835,0.965,0.743,1,Arf5
357,0.824,0.667555234,0.648,1.520633424,0.952,0.42,1,Nsg2
358,0.823,0.612434787,0.646,1.171578566,0.982,0.789,1,Cox7b
359,0.823,0.788137553,0.646,1.731493625,0.928,0.403,1,Stmn4
360,0.823,0.69027239,0.646,2.446103576,0.791,0.169,1,Adgrb2
361,0.823,0.684118532,0.646,2.065178761,0.856,0.289,1,Abi2
362,0.822,0.694172143,0.644,1.89486328,0.874,0.365,1,Nckap1
363,0.82,0.656955723,0.64,1.789579848,0.885,0.33,1,Prr7
364,0.819,0.714704938,0.638,1.961088633,0.862,0.351,1,Atp6v1d
365,0.819,0.661437185,0.638,2.572446386,0.775,0.181,1,Mindy3
366,0.818,0.69590814,0.636,3.465309694,0.705,0.083,1,Pgbd5
367,0.818,0.672579413,0.636,2.93981963,0.734,0.103,1,Lmo3
368,0.818,0.647566477,0.636,1.885544301,0.868,0.316,1,Nsmf
